695833 | 03AQ02 Mar 23 02:23:22 03 | L01 D3 (Groth) | 14:19:28.0  52:40:41 2000 |  180 | i | 1.19 | 0.79 0.87  1127 |P 1 V Q|
880184 | 06BQ07 Nov 19 19:42:26 06 | L04 D4         | 22:15:29.4 -17:42:38 2000 |  660 | u | 1.29 | 0.92 0.94   257 |P 1 V Q|
880185 | 06BQ07 Nov 19 19:56:59 06 | L04 D4         | 22:15:28.9 -17:43:07 2000 |  660 | u | 1.32 | 0.93 0.96   250 |P 1 V Q|
880186 | 06BQ07 Nov 19 20:08:51 06 | L04 D4         | 22:15:31.0 -17:45:08 2000 |  660 | u | 1.34 | 0.88 0.91   245 |P 1 V Q|
880297 | 06BQ07 Nov 20 22:24:33 06 | L01 D1         |  2:26:00.1  -4:30:02 2000 |  520 | i | 1.11 | 0.56 0.58  2135 |P 1 V Q|
880298 | 06BQ07 Nov 20 22:34:03 06 | L01 D1         |  2:25:58.6  -4:30:32 2000 |  520 | i | 1.10 | 0.57 0.59  2128 |P 1 V Q|
880299 | 06BQ07 Nov 20 22:43:33 06 | L01 D1         |  2:26:00.6  -4:31:32 2000 |  520 | i | 1.10 | 0.56 0.57  2165 |P 1 V Q|
880300 | 06BQ07 Nov 20 22:53:03 06 | L01 D1         |  2:26:01.6  -4:29:32 2000 |  520 | i | 1.10 | 0.51 0.53  2134 |P 1 V Q|
880301 | 06BQ07 Nov 20 23:02:36 06 | L01 D1         |  2:25:59.5  -4:28:32 2000 |  520 | i | 1.10 | 0.56 0.58  2100 |P 1 V Q|
880302 | 06BQ07 Nov 20 23:20:41 06 | L01 D1         |  2:25:59.1  -4:29:01 2000 |  520 | i | 1.10 | 0.53 0.55  2267 |P 1 V Q|
880303 | 06BQ07 Nov 20 23:30:11 06 | L01 D1         |  2:26:01.1  -4:31:01 2000 |  520 | i | 1.11 | 0.51 0.52  2359 |P 1 V Q|
880304 | 06BQ07 Nov 20 23:37:22 06 | L01 D1         |  2:26:00.1  -4:30:02 2000 |  300 | r | 1.12 | 0.58 0.59   645 |P 1 V Q|
880305 | 06BQ07 Nov 20 23:43:12 06 | L01 D1         |  2:25:58.6  -4:30:32 2000 |  300 | r | 1.12 | 0.56 0.57   653 |P 1 V Q|
880306 | 06BQ07 Nov 20 23:49:03 06 | L01 D1         |  2:26:00.6  -4:31:32 2000 |  300 | r | 1.13 | 0.58 0.59   652 |P 1 V Q|
880307 | 06BQ07 Nov 20 23:54:53 06 | L01 D1         |  2:26:01.6  -4:29:32 2000 |  300 | r | 1.14 | 0.57 0.58   639 |P 1 V Q|
880308 | 06BQ07 Nov 21 00:00:43 06 | L01 D1         |  2:25:59.5  -4:28:32 2000 |  300 | r | 1.15 | 0.59 0.61   640 |P 1 V Q|
880309 | 06BQ07 Nov 21 00:06:38 06 | L01 D1         |  2:26:00.1  -4:30:02 2000 |  225 | g | 1.16 | 0.66 0.68   359 |P 1 V Q|
880310 | 06BQ07 Nov 21 00:11:14 06 | L01 D1         |  2:25:58.6  -4:30:32 2000 |  225 | g | 1.17 | 0.66 0.68   366 |P 1 V Q|
880311 | 06BQ07 Nov 21 00:15:56 06 | L01 D1         |  2:26:00.6  -4:31:32 2000 |  225 | g | 1.18 | 0.65 0.68   361 |P 1 V Q|
880312 | 06BQ07 Nov 21 00:20:31 06 | L01 D1         |  2:26:01.6  -4:29:32 2000 |  225 | g | 1.19 | 0.65 0.68   370 |P 1 V Q|
880313 | 06BQ07 Nov 21 00:25:07 06 | L01 D1         |  2:25:59.5  -4:28:32 2000 |  225 | g | 1.20 | 0.70 0.72   370 |P 1 V Q|
880314 | 06BQ07 Nov 21 00:33:15 06 | L01 D1         |  2:26:00.1  -4:30:02 2000 |  360 | z | 1.21 | 0.61 0.63  1733 |P 1 V Q|
880315 | 06BQ07 Nov 21 00:40:04 06 | L01 D1         |  2:25:58.6  -4:30:32 2000 |  360 | z | 1.23 | 0.48 0.51  1772 |P 1 V Q|
880316 | 06BQ07 Nov 21 00:46:54 06 | L01 D1         |  2:26:00.6  -4:31:32 2000 |  360 | z | 1.25 | 0.46 0.49  1803 |P 1 V Q|
880317 | 06BQ07 Nov 21 00:53:43 06 | L01 D1         |  2:26:01.6  -4:29:32 2000 |  360 | z | 1.27 | 0.48 0.50  1826 |P 1 V Q|
880318 | 06BQ07 Nov 21 01:00:39 06 | L01 D1         |  2:25:59.5  -4:28:32 2000 |  360 | z | 1.30 | 0.48 0.50  1808 |P 1 V Q|
880319 | 06BQ07 Nov 21 01:07:29 06 | L01 D1         |  2:25:59.1  -4:29:02 2000 |  360 | z | 1.32 | 0.51 0.52  1767 |P 1 V Q|
880320 | 06BQ07 Nov 21 01:14:18 06 | L01 D1         |  2:26:01.1  -4:31:02 2000 |  360 | z | 1.35 | 0.56 0.57  1797 |P 1 V Q|
880321 | 06BQ07 Nov 21 01:21:11 06 | L01 D1         |  2:26:00.7  -4:28:50 2000 |  360 | z | 1.38 | 0.57 0.58  1828 |P 1 V Q|
880322 | 06BQ07 Nov 21 01:28:05 06 | L01 D1         |  2:25:59.4  -4:31:14 2000 |  360 | z | 1.42 | 0.59 0.60  1844 |P 1 V Q|
880323 | 06BQ07 Nov 21 01:34:58 06 | L01 D1         |  2:25:58.9  -4:29:44 2000 |  360 | z | 1.46 | 0.56 0.57  1813 |P 1 V Q|
880334 | 06BQ07 Nov 21 03:44:23 06 | L01 D2         | 10:00:28.5   2:12:23 2000 |  520 | i | 1.39 | 0.59 0.61  3462 |A 5 O Q|
880335 | 06BQ07 Nov 21 03:53:53 06 | L01 D2         | 10:00:27.0   2:11:53 2000 |  520 | i | 1.34 | 0.62 0.65  3401 |A 3 V Q|
880336 | 06BQ07 Nov 21 04:03:24 06 | L01 D2         | 10:00:29.0   2:10:53 2000 |  520 | i | 1.30 | 0.59 0.62  3387 |A 2 V Q|
880337 | 06BQ07 Nov 21 04:16:26 06 | L01 D2         | 10:00:30.0   2:12:53 2000 |  520 | i | 1.25 | 0.59 0.62  3291 |A 2 V Q|
880338 | 06BQ07 Nov 21 04:32:15 06 | L01 D2         | 10:00:28.0   2:13:53 2000 |  520 | i | 1.20 | 0.55 0.59  3148 |A 2 V Q|
880340 | 06BQ07 Nov 21 05:27:30 06 | L01 D2         | 10:00:27.5   2:13:23 2000 |  520 | i | 1.09 | 0.52 0.55  2794 |P 1 V Q|
880341 | 06BQ07 Nov 21 05:37:02 06 | L01 D2         | 10:00:29.5   2:11:23 2000 |  520 | i | 1.08 | 0.53 0.56  4036 |P 1 V Q|
880342 | 06BQ07 Nov 21 05:46:36 06 | L01 D2         | 10:00:28.5   2:12:22 2000 |  520 | i | 1.07 | 0.58 0.53 15338 |P 2 V Q|
880478 | 06BQ07 Nov 22 03:56:15 06 | L01 D2         | 10:00:28.7   2:12:20 2000 |  300 | r | 1.30 | 0.56 0.57   862 |P 1 V Q|
880479 | 06BQ07 Nov 22 04:02:06 06 | L01 D2         | 10:00:27.2   2:11:50 2000 |  300 | r | 1.28 | 0.61 0.63   843 |P 1 V Q|
880480 | 06BQ07 Nov 22 04:07:57 06 | L01 D2         | 10:00:29.2   2:10:50 2000 |  300 | r | 1.26 | 0.68 0.70   846 |P 1 V Q|
880481 | 06BQ07 Nov 22 04:13:48 06 | L01 D2         | 10:00:30.2   2:12:50 2000 |  300 | r | 1.24 | 0.80 0.81   867 |P 1 V Q|
880482 | 06BQ07 Nov 22 04:19:39 06 | L01 D2         | 10:00:28.2   2:13:50 2000 |  300 | r | 1.22 | 0.81 0.82   848 |P 1 V Q|
880483 | 06BQ07 Nov 22 04:25:30 06 | L01 D2         | 10:00:28.7   2:12:20 2000 |  225 | g | 1.20 | 1.13 1.13   534 |P 1 V Q|
880484 | 06BQ07 Nov 22 04:30:06 06 | L01 D2         | 10:00:27.2   2:11:50 2000 |  225 | g | 1.18 | 1.14 1.15   536 |P 1 V Q|
880485 | 06BQ07 Nov 22 04:34:41 06 | L01 D2         | 10:00:29.2   2:10:50 2000 |  225 | g | 1.17 | 1.39 1.39   539 |P 3 O Q|
880486 | 06BQ07 Nov 22 04:39:25 06 | L01 D2         | 10:00:30.1   2:12:50 2000 |  225 | g | 1.16 | 1.15 1.16   535 |P 1 V Q|
880487 | 06BQ07 Nov 22 04:44:02 06 | L01 D2         | 10:00:28.1   2:13:50 2000 |  225 | g | 1.15 | 1.11 1.12   538 |P 1 V Q|
880488 | 06BQ07 Nov 22 04:48:41 06 | L01 D2         | 10:00:29.2   2:10:50 2000 |  225 | g | 1.14 | 1.06 1.08   548 |P 1 V Q|
880755 | 06BQ07 Nov 23 21:25:57 06 | L01 D1         |  2:25:59.9  -4:30:01 2000 |  360 | i | 1.16 | 1.20 1.20  1520 |P 3 O Q|
880756 | 06BQ07 Nov 23 21:32:48 06 | L01 D1         |  2:25:58.4  -4:30:31 2000 |  360 | i | 1.15 | 1.19 1.21  1484 |P 3 O Q|
880765 | 06BQ07 Nov 23 23:25:24 06 | L01 D1         |  2:25:59.9  -4:30:01 2000 |  360 | i | 1.12 | 0.58 0.58  1231 |P 1 V Q|
880766 | 06BQ07 Nov 23 23:32:15 06 | L01 D1         |  2:25:58.4  -4:30:31 2000 |  360 | i | 1.12 | 0.52 0.52  1271 |P 1 V Q|
880767 | 06BQ07 Nov 23 23:39:06 06 | L01 D1         |  2:26:00.4  -4:31:31 2000 |  360 | i | 1.13 | 0.54 0.55  1308 |P 1 V Q|
880768 | 06BQ07 Nov 23 23:47:24 06 | L01 D1         |  2:26:01.4  -4:29:31 2000 |  360 | i | 1.15 | 0.47 0.48  1303 |P 1 V Q|
880769 | 06BQ07 Nov 23 23:54:16 06 | L01 D1         |  2:25:59.4  -4:28:31 2000 |  360 | i | 1.16 | 0.48 0.49  1418 |P 1 V Q|
880770 | 06BQ07 Nov 24 00:01:35 06 | L01 D1         |  2:25:59.9  -4:30:01 2000 |  300 | r | 1.17 | 0.58 0.59   705 |P 1 V Q|
880771 | 06BQ07 Nov 24 00:07:25 06 | L01 D1         |  2:25:58.4  -4:30:31 2000 |  300 | r | 1.18 | 0.73 0.74   730 |P 1 V Q|
880772 | 06BQ07 Nov 24 00:13:17 06 | L01 D1         |  2:26:00.4  -4:31:31 2000 |  300 | r | 1.20 | 0.64 0.65   739 |P 1 V Q|
880773 | 06BQ07 Nov 24 00:19:06 06 | L01 D1         |  2:26:01.4  -4:29:31 2000 |  300 | r | 1.21 | 0.72 0.73   770 |P 1 V Q|
880774 | 06BQ07 Nov 24 00:25:03 06 | L01 D1         |  2:25:59.3  -4:28:31 2000 |  300 | r | 1.23 | 0.75 0.76   800 |P 1 V Q|
880775 | 06BQ07 Nov 24 00:30:53 06 | L01 D1         |  2:25:59.9  -4:30:01 2000 |  225 | g | 1.25 | 0.80 0.81   400 |P 1 V Q|
880776 | 06BQ07 Nov 24 00:35:30 06 | L01 D1         |  2:25:58.4  -4:30:31 2000 |  225 | g | 1.26 | 0.78 0.79   404 |P 1 V Q|
880777 | 06BQ07 Nov 24 00:40:06 06 | L01 D1         |  2:26:00.4  -4:31:31 2000 |  225 | g | 1.28 | 0.84 0.85   409 |P 1 V Q|
880778 | 06BQ07 Nov 24 00:44:42 06 | L01 D1         |  2:26:01.4  -4:29:31 2000 |  225 | g | 1.29 | 0.72 0.74   414 |P 1 V Q|
880779 | 06BQ07 Nov 24 00:49:24 06 | L01 D1         |  2:25:59.3  -4:28:30 2000 |  225 | g | 1.31 | 0.80 0.81   407 |P 1 V Q|
881028 | 06BQ07 Nov 26 20:25:32 06 | L01 D1         |  2:26:00.0  -4:30:00 2000 |  520 | i | 1.30 | 0.86 0.88  2933 |A 1 V Q|
881029 | 06BQ07 Nov 26 20:35:04 06 | L01 D1         |  2:25:58.5  -4:30:30 2000 |  520 | i | 1.27 | 1.22 1.23  2925 |A 1 V Q|
881030 | 06BQ07 Nov 26 20:44:35 06 | L01 D1         |  2:26:00.5  -4:31:30 2000 |  520 | i | 1.24 | 1.13 1.14  2871 |A 1 V Q|
881031 | 06BQ07 Nov 26 20:54:06 06 | L01 D1         |  2:26:01.4  -4:29:30 2000 |  520 | i | 1.21 | 0.91 0.93  2866 |A 1 V Q|
881032 | 06BQ07 Nov 26 21:03:38 06 | L01 D1         |  2:25:59.4  -4:28:30 2000 |  520 | i | 1.19 | 0.75 0.77  2801 |A 1 V Q|
881033 | 06BQ07 Nov 26 21:13:08 06 | L01 D1         |  2:25:58.9  -4:29:00 2000 |  520 | i | 1.17 | 0.66 0.67  2622 |A 1 V Q|
881034 | 06BQ07 Nov 26 21:22:38 06 | L01 D1         |  2:26:01.0  -4:31:00 2000 |  520 | i | 1.15 | 0.66 0.67  2686 |P 1 V Q|
881035 | 06BQ07 Nov 26 21:29:50 06 | L01 D1         |  2:26:00.0  -4:30:00 2000 |  300 | r | 1.14 | 0.86 0.88   957 |P 1 V Q|
881036 | 06BQ07 Nov 26 21:35:41 06 | L01 D1         |  2:25:58.5  -4:30:29 2000 |  300 | r | 1.13 | 0.86 0.88   963 |P 1 V Q|
881037 | 06BQ07 Nov 26 21:41:32 06 | L01 D1         |  2:26:00.5  -4:31:30 2000 |  300 | r | 1.12 | 0.78 0.80   985 |P 1 V Q|
881038 | 06BQ07 Nov 26 21:47:23 06 | L01 D1         |  2:26:01.4  -4:29:30 2000 |  300 | r | 1.12 | 0.78 0.78   952 |P 1 V Q|
881039 | 06BQ07 Nov 26 21:53:13 06 | L01 D1         |  2:25:59.4  -4:28:30 2000 |  300 | r | 1.11 | 0.74 0.75   961 |P 1 V Q|
881040 | 06BQ07 Nov 26 22:01:28 06 | L01 D1         |  2:26:00.0  -4:30:00 2000 |  360 | z | 1.11 | 0.65 0.68  1862 |P 1 V Q|
881041 | 06BQ07 Nov 26 22:08:19 06 | L01 D1         |  2:25:58.5  -4:30:30 2000 |  360 | z | 1.10 | 0.77 0.79  1774 |P 1 V Q|
881042 | 06BQ07 Nov 26 22:15:10 06 | L01 D1         |  2:26:00.5  -4:31:30 2000 |  360 | z | 1.10 | 0.77 0.81  1686 |P 1 V Q|
881043 | 06BQ07 Nov 26 22:22:00 06 | L01 D1         |  2:26:01.4  -4:29:30 2000 |  360 | z | 1.10 | 0.74 0.78  1668 |P 1 V Q|
881044 | 06BQ07 Nov 26 22:28:51 06 | L01 D1         |  2:25:59.4  -4:28:30 2000 |  360 | z | 1.10 | 0.81 0.85  1597 |P 1 V Q|
881045 | 06BQ07 Nov 26 22:35:41 06 | L01 D1         |  2:25:59.0  -4:29:00 2000 |  360 | z | 1.10 | 0.88 0.92  1515 |P 1 V Q|
881046 | 06BQ07 Nov 26 22:42:32 06 | L01 D1         |  2:26:01.0  -4:31:00 2000 |  360 | z | 1.10 | 0.69 0.72  1473 |P 1 V Q|
881047 | 06BQ07 Nov 26 22:49:24 06 | L01 D1         |  2:26:00.6  -4:28:48 2000 |  360 | z | 1.10 | 0.71 0.74  1605 |P 1 V Q|
881048 | 06BQ07 Nov 26 22:56:14 06 | L01 D1         |  2:25:59.3  -4:31:12 2000 |  360 | z | 1.10 | 0.72 0.76  1532 |P 1 V Q|
881049 | 06BQ07 Nov 26 23:03:05 06 | L01 D1         |  2:25:58.7  -4:29:41 2000 |  360 | z | 1.11 | 0.78 0.82  1507 |P 1 V Q|
881050 | 06BQ07 Nov 26 23:09:03 06 | L01 D1         |  2:25:59.9  -4:30:00 2000 |  225 | g | 1.12 | 0.92 0.96   505 |P 1 V Q|
881051 | 06BQ07 Nov 26 23:13:39 06 | L01 D1         |  2:25:58.5  -4:30:29 2000 |  225 | g | 1.12 | 0.90 0.94   461 |P 1 V Q|
881052 | 06BQ07 Nov 26 23:18:15 06 | L01 D1         |  2:26:00.5  -4:31:30 2000 |  225 | g | 1.12 | 0.90 0.93   427 |P 1 V Q|
881053 | 06BQ07 Nov 26 23:22:51 06 | L01 D1         |  2:26:01.4  -4:29:30 2000 |  225 | g | 1.13 | 0.84 0.88   391 |P 1 V Q|
881054 | 06BQ07 Nov 26 23:27:28 06 | L01 D1         |  2:25:59.4  -4:28:30 2000 |  225 | g | 1.14 | 0.83 0.86   361 |P 1 V Q|
881083 | 06BQ07 Nov 27 02:46:05 06 | L01 D2         | 10:00:28.6   2:12:20 2000 |  360 | i | 1.60 | 0.87 0.90  1458 |P 1 V Q|
881084 | 06BQ07 Nov 27 02:52:57 06 | L01 D2         | 10:00:27.2   2:11:50 2000 |  360 | i | 1.55 | 0.88 0.90  1430 |P 1 V Q|
881085 | 06BQ07 Nov 27 02:59:49 06 | L01 D2         | 10:00:29.2   2:10:50 2000 |  360 | i | 1.50 | 0.98 0.99  1453 |P 2 V Q|
881086 | 06BQ07 Nov 27 03:06:40 06 | L01 D2         | 10:00:30.1   2:12:50 2000 |  360 | i | 1.46 | 0.90 0.93  1476 |P 1 V Q|
881087 | 06BQ07 Nov 27 03:13:30 06 | L01 D2         | 10:00:28.1   2:13:50 2000 |  360 | i | 1.42 | 0.91 0.93  1413 |P 1 V Q|
881088 | 06BQ07 Nov 27 03:19:27 06 | L01 D2         | 10:00:28.6   2:12:20 2000 |  225 | g | 1.37 | 0.99 1.02   518 |P 1 V Q|
881089 | 06BQ07 Nov 27 03:24:02 06 | L01 D2         | 10:00:27.2   2:11:50 2000 |  225 | g | 1.35 | 1.07 1.09   509 |P 1 V Q|
881090 | 06BQ07 Nov 27 03:28:38 06 | L01 D2         | 10:00:29.2   2:10:49 2000 |  225 | g | 1.33 | 1.01 1.03   507 |P 1 V Q|
881091 | 06BQ07 Nov 27 03:33:14 06 | L01 D2         | 10:00:30.1   2:12:50 2000 |  225 | g | 1.31 | 0.95 0.97   512 |P 1 V Q|
881092 | 06BQ07 Nov 27 03:37:50 06 | L01 D2         | 10:00:28.1   2:13:50 2000 |  225 | g | 1.29 | 0.94 0.96   505 |P 1 V Q|
881093 | 06BQ07 Nov 27 03:44:59 06 | L01 D2         | 10:00:28.6   2:12:20 2000 |  300 | r | 1.27 | 0.80 0.82   808 |P 1 V Q|
881094 | 06BQ07 Nov 27 03:50:49 06 | L01 D2         | 10:00:27.2   2:11:50 2000 |  300 | r | 1.25 | 0.76 0.78   799 |P 1 V Q|
881095 | 06BQ07 Nov 27 03:56:39 06 | L01 D2         | 10:00:29.2   2:10:50 2000 |  300 | r | 1.23 | 0.85 0.88   783 |P 1 V Q|
881096 | 06BQ07 Nov 27 04:02:31 06 | L01 D2         | 10:00:30.1   2:12:50 2000 |  300 | r | 1.21 | 0.82 0.84   770 |P 1 V Q|
881097 | 06BQ07 Nov 27 04:08:22 06 | L01 D2         | 10:00:28.1   2:13:50 2000 |  300 | r | 1.19 | 0.73 0.75   747 |P 1 V Q|
882863 | 06BQ08 Dec 11 21:16:54 06 | L01 D1         |  2:25:59.8  -4:29:58 2000 |  520 | i | 1.10 | 0.66 0.67  2155 |P 1 V Q|
882864 | 06BQ08 Dec 11 21:26:23 06 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  520 | i | 1.10 | 0.73 0.75  2085 |P 1 V Q|
882865 | 06BQ08 Dec 11 21:35:52 06 | L01 D1         |  2:26:00.4  -4:31:28 2000 |  520 | i | 1.10 | 0.66 0.68  2090 |P 1 V Q|
882866 | 06BQ08 Dec 11 21:45:24 06 | L01 D1         |  2:26:01.3  -4:29:28 2000 |  520 | i | 1.10 | 0.74 0.77  2108 |P 1 V Q|
882867 | 06BQ08 Dec 11 21:54:53 06 | L01 D1         |  2:25:59.3  -4:28:28 2000 |  520 | i | 1.10 | 0.80 0.82  2153 |P 1 V Q|
882868 | 06BQ08 Dec 11 22:04:22 06 | L01 D1         |  2:25:58.8  -4:28:58 2000 |  520 | i | 1.11 | 0.78 0.80  2149 |P 1 V Q|
882869 | 06BQ08 Dec 11 22:13:54 06 | L01 D1         |  2:26:00.8  -4:30:58 2000 |  520 | i | 1.11 | 0.71 0.73  2141 |P 1 V Q|
882870 | 06BQ08 Dec 11 22:21:12 06 | L01 D1         |  2:25:59.8  -4:29:58 2000 |  300 | r | 1.13 | 0.80 0.82   678 |P 1 V Q|
882871 | 06BQ08 Dec 11 22:27:02 06 | L01 D1         |  2:25:58.3  -4:30:27 2000 |  300 | r | 1.13 | 0.81 0.83   687 |P 1 V Q|
882872 | 06BQ08 Dec 11 22:32:51 06 | L01 D1         |  2:26:00.4  -4:31:28 2000 |  300 | r | 1.14 | 0.81 0.83   699 |P 1 V Q|
882873 | 06BQ08 Dec 11 22:38:40 06 | L01 D1         |  2:26:01.3  -4:29:28 2000 |  300 | r | 1.15 | 0.73 0.75   712 |P 1 V Q|
882874 | 06BQ08 Dec 11 22:44:35 06 | L01 D1         |  2:25:59.3  -4:28:27 2000 |  300 | r | 1.16 | 0.87 0.89   710 |P 1 V Q|
882875 | 06BQ08 Dec 11 22:50:25 06 | L01 D1         |  2:25:59.8  -4:29:58 2000 |  225 | g | 1.17 | 0.89 0.91   346 |P 1 V Q|
882876 | 06BQ08 Dec 11 22:55:00 06 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  225 | g | 1.18 | 0.91 0.93   348 |P 1 V Q|
882877 | 06BQ08 Dec 11 22:59:34 06 | L01 D1         |  2:26:00.4  -4:31:28 2000 |  225 | g | 1.19 | 0.87 0.89   347 |P 1 V Q|
882878 | 06BQ08 Dec 11 23:04:09 06 | L01 D1         |  2:26:01.3  -4:29:28 2000 |  225 | g | 1.20 | 0.90 0.92   344 |P 1 V Q|
882879 | 06BQ08 Dec 11 23:08:43 06 | L01 D1         |  2:25:59.3  -4:28:28 2000 |  225 | g | 1.21 | 0.95 0.97   343 |P 1 V Q|
882880 | 06BQ08 Dec 11 23:16:56 06 | L01 D1         |  2:25:59.8  -4:29:57 2000 |  360 | z | 1.23 | 0.75 0.77  1429 |P 1 V Q|
882881 | 06BQ08 Dec 11 23:23:51 06 | L01 D1         |  2:25:58.3  -4:30:28 2000 |  360 | z | 1.25 | 0.84 0.83  1377 |P 1 V Q|
882882 | 06BQ08 Dec 11 23:30:40 06 | L01 D1         |  2:26:00.4  -4:31:28 2000 |  360 | z | 1.27 | 0.79 0.81  1411 |P 1 V Q|
882883 | 06BQ08 Dec 11 23:37:30 06 | L01 D1         |  2:26:01.3  -4:29:28 2000 |  360 | z | 1.30 | 0.76 0.76  1448 |P 1 V Q|
882884 | 06BQ08 Dec 11 23:44:22 06 | L01 D1         |  2:25:59.3  -4:28:27 2000 |  360 | z | 1.32 | 0.94 0.97  1434 |P 1 V Q|
882885 | 06BQ08 Dec 11 23:51:11 06 | L01 D1         |  2:25:58.8  -4:28:57 2000 |  360 | z | 1.35 | 1.36 1.43  1503 |P 3 V Q|
882886 | 06BQ08 Dec 11 23:58:04 06 | L01 D1         |  2:26:00.8  -4:30:58 2000 |  360 | z | 1.38 | 1.86 1.85  1544 |P 3 O Q|
882887 | 06BQ08 Dec 12 00:04:53 06 | L01 D1         |  2:26:00.5  -4:28:45 2000 |  360 | z | 1.41 | 1.15 1.16  1500 |P 2 V Q|
882888 | 06BQ08 Dec 12 00:11:44 06 | L01 D1         |  2:25:59.2  -4:31:10 2000 |  360 | z | 1.45 | 1.15 1.17  1544 |P 2 V Q|
882889 | 06BQ08 Dec 12 00:18:33 06 | L01 D1         |  2:25:58.6  -4:29:40 2000 |  360 | z | 1.49 | 1.76 1.68  1555 |P 3 V Q|
882890 | 06BQ08 Dec 12 00:25:31 06 | L01 D1         |  2:26:00.8  -4:30:58 2000 |  360 | z | 1.54 | 1.43 1.47  1576 |P 3 V Q|
882891 | 06BQ08 Dec 12 00:32:21 06 | L01 D1         |  2:25:58.6  -4:29:39 2000 |  360 | z | 1.58 | 1.85 1.84  1585 |P 3 O Q|
883057 | 06BQ08 Dec 13 02:04:03 06 | L01 D2         | 10:00:28.6   2:12:20 2000 |  520 | i | 1.47 | 1.50 1.51  3474 |P 5 O Q|
883058 | 06BQ08 Dec 13 02:19:37 06 | L01 D2         | 10:00:28.6   2:12:20 2000 |  520 | i | 1.38 | 0.80 0.82  2879 |P 1 V Q|
883059 | 06BQ08 Dec 13 02:29:09 06 | L01 D2         | 10:00:27.2   2:11:50 2000 |  520 | i | 1.34 | 0.82 0.84  2818 |P 1 V Q|
883060 | 06BQ08 Dec 13 02:38:40 06 | L01 D2         | 10:00:29.2   2:10:49 2000 |  520 | i | 1.30 | 0.74 0.77  2777 |P 1 V Q|
883061 | 06BQ08 Dec 13 02:48:11 06 | L01 D2         | 10:00:30.1   2:12:50 2000 |  520 | i | 1.26 | 0.90 0.91  2688 |P 1 V Q|
883062 | 06BQ08 Dec 13 02:57:42 06 | L01 D2         | 10:00:28.1   2:13:50 2000 |  520 | i | 1.23 | 0.97 0.99  2723 |P 1 V Q|
883063 | 06BQ08 Dec 13 03:07:16 06 | L01 D2         | 10:00:27.6   2:13:20 2000 |  520 | i | 1.20 | 0.87 0.89  2666 |P 1 V Q|
883064 | 06BQ08 Dec 13 03:16:46 06 | L01 D2         | 10:00:29.6   2:11:20 2000 |  520 | i | 1.17 | 0.77 0.79  2405 |P 1 V Q|
883065 | 06BQ08 Dec 13 03:24:04 06 | L01 D2         | 10:00:28.6   2:12:20 2000 |  300 | r | 1.15 | 0.87 0.88  1574 |P 1 V Q|
883066 | 06BQ08 Dec 13 03:29:56 06 | L01 D2         | 10:00:27.2   2:11:50 2000 |  300 | r | 1.13 | 0.78 0.80  1548 |P 1 V Q|
883067 | 06BQ08 Dec 13 03:35:48 06 | L01 D2         | 10:00:29.2   2:10:50 2000 |  300 | r | 1.12 | 0.80 0.82  1516 |P 1 V Q|
883068 | 06BQ08 Dec 13 03:41:38 06 | L01 D2         | 10:00:30.1   2:12:49 2000 |  300 | r | 1.11 | 0.72 0.73  1506 |P 1 V Q|
883069 | 06BQ08 Dec 13 03:47:30 06 | L01 D2         | 10:00:28.1   2:13:50 2000 |  300 | r | 1.10 | 0.74 0.75  1507 |P 1 V Q|
883070 | 06BQ08 Dec 13 03:55:42 06 | L01 D2         | 10:00:28.6   2:12:20 2000 |  360 | z | 1.09 | 0.73 0.74   995 |P 1 V Q|
883071 | 06BQ08 Dec 13 04:02:33 06 | L01 D2         | 10:00:27.1   2:11:50 2000 |  360 | z | 1.08 | 0.78 0.79  1046 |P 1 V Q|
883072 | 06BQ08 Dec 13 04:09:32 06 | L01 D2         | 10:00:29.2   2:10:50 2000 |  360 | z | 1.08 | 0.71 0.73  1141 |P 1 V Q|
883073 | 06BQ08 Dec 13 04:16:23 06 | L01 D2         | 10:00:30.1   2:12:49 2000 |  360 | z | 1.07 | 0.75 0.77  1153 |P 1 V Q|
883074 | 06BQ08 Dec 13 04:23:13 06 | L01 D2         | 10:00:28.1   2:13:50 2000 |  360 | z | 1.06 | 0.76 0.79  1148 |P 1 V Q|
883075 | 06BQ08 Dec 13 04:30:04 06 | L01 D2         | 10:00:27.6   2:13:19 2000 |  360 | z | 1.06 | 0.68 0.70  1131 |P 1 V Q|
883076 | 06BQ08 Dec 13 04:36:57 06 | L01 D2         | 10:00:29.6   2:11:19 2000 |  360 | z | 1.05 | 0.69 0.71  1147 |P 1 V Q|
883077 | 06BQ08 Dec 13 04:43:49 06 | L01 D2         | 10:00:29.3   2:13:32 2000 |  360 | z | 1.05 | 0.67 0.69  1125 |P 1 V Q|
883078 | 06BQ08 Dec 13 04:50:39 06 | L01 D2         | 10:00:28.0   2:11:07 2000 |  360 | z | 1.05 | 0.68 0.70  1178 |P 1 V Q|
883079 | 06BQ08 Dec 13 04:57:29 06 | L01 D2         | 10:00:27.4   2:12:38 2000 |  360 | z | 1.05 | 0.96 0.98  1242 |P 1 V Q|
883862 | 06BQ08 Dec 15 22:12:20 06 | L01 D1         |  2:26:00.0  -4:29:59 2000 |  300 | r | 1.14 | 1.21 1.23   751 |P 3 O Q|
